attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,time,attention_label,relaxation_label
54,43,1628511,1226061,49519,76203,67097,42985,36232,66400,0,0.1730948999999988,Medium,Medium
54,43,1628511,1226061,49519,76203,67097,42985,36232,66400,50,0.3524630999999978,Medium,Medium
47,38,1364118,74112,21034,26251,63036,15680,14293,23903,0,1.169205599999998,Medium,Medium
63,50,55846,32601,15877,11912,11351,16628,20074,5642,0,2.1585052000000005,Medium,Medium
61,34,503036,32190,2574,4902,1359,6324,2695,3091,0,3.1745755,Medium,Medium
81,47,30587,26065,3885,11268,6181,11902,6564,6207,0,4.2058106,High,Medium
93,53,3691,12316,3100,21069,12651,16001,15769,2748,0,5.1771827,High,Medium
100,48,13962,13106,5005,10290,24625,15253,8063,2615,0,6.161131999999999,High,Medium
100,48,13962,13106,5005,10290,24625,15253,8063,2615,0,7.145655899999998,High,Medium
100,48,13962,13106,5005,10290,24625,15253,8063,2615,0,7.146002299999999,High,Medium
100,61,23479,43530,35215,10814,14252,13794,11818,5725,0,7.1465763,High,Medium
100,67,20085,13193,15873,6931,10411,9537,13272,6791,0,8.151186599999999,High,High
84,61,6706,48877,10141,9221,15779,7350,11268,2503,0,9.1675996,High,Medium
69,75,33216,17526,16348,14608,8739,5557,9351,4992,0,10.1503013,High,High
78,75,15556,12623,7843,16360,8343,13421,8943,5513,0,11.161424200000004,High,High
75,75,11795,12319,10778,14396,16488,7378,4958,2671,0,12.181718,High,High
83,83,75959,22486,11854,14694,7581,12002,7625,7649,0,13.1582044,High,High
94,77,37049,23645,21614,10615,14061,20275,10979,4232,0,14.145682400000002,High,High
97,78,24767,6189,4776,10861,4318,11921,15194,3766,0,15.163368600000002,High,High
93,77,20667,48348,21658,20769,10386,11028,14956,2724,0,16.1642696,High,High
93,77,20667,48348,21658,20769,10386,11028,14956,2724,0,17.137968599999997,High,High
93,77,20667,48348,21658,20769,10386,11028,14956,2724,0,17.1382807,High,High
97,81,25015,12987,12928,26272,9646,21657,9169,3914,0,17.1638166,High,High
90,77,61764,49525,10662,14930,7036,12538,15247,3664,0,18.1735702,High,High
90,77,61764,49525,10662,14930,7036,12538,15247,3664,53,18.5365924,High,High
66,47,494133,363407,11426,1931,20618,16232,8735,18199,0,19.2009795,Medium,Medium
84,44,2590,7312,14955,936,9034,17859,20499,3684,0,20.1609659,High,Medium
80,35,55884,45244,10773,10280,10696,19177,15454,3045,0,21.152366,High,Medium
74,29,477233,198015,20211,21364,11601,18837,18001,13221,0,22.1681509,High,Low
90,53,1096304,45596,16000,10481,10812,16656,20678,3137,0,23.1531379,High,Medium
90,53,1096304,45596,16000,10481,10812,16656,20678,3137,39,23.8200273,High,Medium
69,51,1088068,53467,16328,13243,6124,8114,9562,2658,0,24.1900143,High,Medium
54,63,778268,19447,10727,8786,2028,1965,956,1242,0,25.1594745,Medium,Medium
54,63,778268,19447,10727,8786,2028,1965,956,1242,64,25.5748621,Medium,Medium
50,60,656092,1059989,95368,45851,35353,61993,28280,18940,0,26.1565335,Medium,Medium
50,60,656092,1059989,95368,45851,35353,61993,28280,18940,0,27.1383236,Medium,Medium
50,60,656092,1059989,95368,45851,35353,61993,28280,18940,0,27.1386104,Medium,Medium
54,67,83378,8267,2091,27538,12077,16221,17011,11914,0,27.166442,Medium,High
78,74,11628,19893,18757,17501,11870,12617,38314,23195,0,29.1751611,High,High
97,91,38968,21809,31272,24269,4910,35990,27472,11817,0,30.1641494,High,High
88,94,36948,25671,16645,31812,8182,10723,3921,6904,0,31.1655188,High,High
81,77,260577,150508,2180,16336,17087,18771,18969,18687,0,32.163262399999994,High,High
83,74,23169,29650,12447,29106,10936,20031,14189,7734,0,33.151316800000004,High,High
74,80,13663,16196,7075,47982,8424,11858,9259,11776,0,34.1542317,High,High
81,80,50382,10499,32289,5005,4686,15601,25649,6085,0,35.1734508,High,High
96,100,32237,6702,1552,23147,3461,18299,29436,5817,0,36.1543581,High,High
